minute,ad_occurred,active_sessions,is_tv_spike,tv_uplift
2020-11-28 15:00,FALSE,10,FALSE,0.00%
2020-11-28 15:01,FALSE,10,FALSE,0.00%
2020-11-28 15:02,FALSE,9,FALSE,0.00%
2020-11-28 15:03,FALSE,7,FALSE,0.00%
2020-11-28 15:04,FALSE,9,FALSE,0.00%
2020-11-28 15:05,FALSE,11,FALSE,0.00%
2020-11-28 15:06,FALSE,12,FALSE,0.00%
2020-11-28 15:07,FALSE,10,FALSE,0.00%
2020-11-28 15:08,FALSE,9,FALSE,0.00%
2020-11-28 15:09,FALSE,10,FALSE,0.00%
2020-11-28 15:10,TRUE,11,FALSE,0.00%
2020-11-28 15:11,FALSE,20,TRUE,158.77%
2020-11-28 15:12,FALSE,40,TRUE,317.54%
2020-11-28 15:13,FALSE,45,TRUE,357.23%
2020-11-28 15:14,FALSE,50,TRUE,396.93%
2020-11-28 15:15,FALSE,45,TRUE,357.23%
2020-11-28 15:16,FALSE,40,TRUE,317.54%
2020-11-28 15:17,FALSE,20,TRUE,158.77%
2020-11-28 15:18,FALSE,10,FALSE,0.00%
2020-11-28 15:19,FALSE,11,FALSE,0.00%
2020-11-28 15:20,FALSE,12,FALSE,0.00%
